city_name,city_number,country,lat,lon,temp,humidity,wind,clouds
nyaunglebin,1303406,MM,17.95,96.73,35.97,38,2.41,37
aasiaat,3424901,GL,68.71,-52.87,2.16,84,3.09,65
goshogawara,2131612,JP,40.8,140.44,15.87,77,4.1,75
lillooet,6945979,CA,50.69,-121.94,17.35,45,6.7,75
bunbury,2075432,AU,-33.33,115.63,21.11,42,3.01,99
skagastrond,1000000, ,0.0,0.0,0.0,0,0.0,0
hatillo,4565346,PR,18.49,-66.83,23.28,87,0.45,98
kuche,1000000, ,0.0,0.0,0.0,0,0.0,0
coremas,3401725,BR,-7.01,-37.95,21.94,92,0.8,60
vestmannaeyjar,3412093,IS,63.44,-20.27,5.95,79,9.64,56
atikokan,5888001,CA,48.76,-91.62,1.14,73,1.24,0
zaysan,1517060,KZ,47.47,84.87,23.28,34,3.67,24
sur,286245,OM,22.57,59.53,29.4,66,2.88,0
wanaka,2184707,NZ,-44.7,169.15,14.06,53,1.5,0
veraval,1253237,IN,20.9,70.37,29.43,71,5.26,0
roma,5134295,US,43.21,-75.46,0.68,74,3.6,1
pareora,2181133,NZ,-44.49,171.21,13.89,76,2.24,40
kushima,1895695,JP,31.46,131.23,21.9,56,6.2,100
te anau,2181625,NZ,-45.42,167.72,12.91,48,1.42,1
burica,1000000, ,0.0,0.0,0.0,0,0.0,0
cozumel,3530103,MX,20.51,-86.95,25.47,88,2.6,75
tura,1254046,IN,25.52,90.22,31.33,36,2.97,1
yulara,6355222,AU,-25.24,130.99,19.0,17,5.7,0
chikoy,1000000, ,0.0,0.0,0.0,0,0.0,0
wamba,2319257,NG,8.93,8.6,25.14,78,0.42,60
hohhot,2036892,CN,40.81,111.65,21.0,13,2.0,91
wellington,2179537,NZ,-41.29,174.78,14.72,82,3.1,100
bogdanovich,1509888,RU,56.78,62.05,15.82,57,4.09,100
mastung,1170706,PK,29.8,66.84,19.62,63,2.25,3
waddan,2209055,LY,29.16,16.14,24.04,22,3.06,96
verkhnevilyuysk,2013639,RU,63.45,120.32,2.59,78,3.62,100
rajgarh,1258868,IN,28.63,75.38,31.42,36,6.0,99
gallup,5468773,US,35.53,-108.74,19.0,15,7.2,1
mrirt,1000000, ,0.0,0.0,0.0,0,0.0,0
honningsvag,779554,NO,70.98,25.97,0.94,84,10.06,1
pulawy,760924,PL,51.42,21.97,2.67,72,3.94,0
merauke,2082539,ID,-8.47,140.33,29.34,71,4.24,71
juba,373303,SS,4.85,31.58,22.0,93,1.93,82
arlit,2447513,NE,18.74,7.39,27.84,12,3.57,0
manono,209598,CD,-7.3,27.42,19.67,86,1.26,98
schruns,7873725,AT,47.07,9.95,5.73,100,2.54,100
gilazi,1000000, ,0.0,0.0,0.0,0,0.0,0
novikovo,487928,RU,51.15,37.89,3.32,78,8.24,93
praxedis guerrero,3974771,MX,31.37,-106.02,25.32,11,6.29,20
beringovskiy,2126710,RU,63.05,179.32,1.57,90,4.49,47
ust-kamchatsk,1000000, ,0.0,0.0,0.0,0,0.0,0
wanning,1791779,CN,18.8,110.4,30.24,68,4.02,16
coulihaut,1000000, ,0.0,0.0,0.0,0,0.0,0
tete,1026014,MZ,-16.16,33.59,13.0,76,0.77,11
christchurch,2192362,NZ,-43.53,172.63,13.45,76,4.6,100
duz,1000000, ,0.0,0.0,0.0,0,0.0,0
plateros,3992327,MX,23.22,-102.85,24.0,13,7.7,5
utiroa,1000000, ,0.0,0.0,0.0,0,0.0,0
pampa,5527953,US,35.54,-100.96,12.58,82,7.7,90
talara,3691582,PE,-4.58,-81.27,22.07,82,8.15,39
mporokoso,175967,ZM,-9.37,30.12,14.82,92,1.79,93
jvari,614740,GE,42.72,42.05,16.63,31,3.96,74
kisangani,212730,CD,0.52,25.2,21.65,96,0.77,100
ishigaki,1861416,JP,24.34,124.16,28.0,69,8.2,20
pangai,4032369,TO,-19.8,-174.35,28.0,69,3.1,75
baripada,1276942,IN,21.93,86.72,35.86,29,3.63,0
le port,935616,RE,-20.94,55.29,16.56,60,3.6,13
laguna,5364271,US,38.42,-121.42,17.06,64,1.79,37
linxia,1803331,CN,35.6,103.21,17.18,38,4.59,75
columbia,4575352,US,34.0,-81.03,15.15,55,0.86,1
bud,4255151,US,39.45,-86.18,8.6,57,0.44,1
flin flon,5954718,CA,54.77,-101.86,5.02,59,3.19,0
baykit,1510689,RU,61.67,96.37,8.21,52,2.66,4
magrath,6064202,CA,49.42,-112.87,7.11,77,3.1,75
ondjiva,3346821,AO,-17.07,15.73,16.0,53,0.68,0
esterhazy,5949563,CA,50.65,-102.08,4.71,68,4.21,64
lac du bonnet,6014443,CA,50.25,-96.06,7.53,23,1.55,5
ugoofaaru,1337619,MV,5.67,73.0,29.29,78,3.8,100
biankouma,2291666,CI,7.74,-7.61,21.4,91,1.47,97
north platte,5697939,US,41.12,-100.77,7.89,70,4.6,90
gondanglegi,1640660,ID,-7.75,112.01,29.63,67,3.16,0
voi,178522,KE,-3.39,38.56,21.27,81,1.99,100
ambilobe,1082243,MG,-13.2,49.05,20.82,90,1.35,100
catio,2373526,GW,11.28,-15.25,24.36,81,2.44,100
maun,933366,BW,-19.98,23.42,8.0,65,0.5,0
sarangani,1687186,PH,5.4,125.46,29.14,77,5.04,83
meybod,124193,IR,32.25,54.02,17.0,25,3.1,0
vanimo,2084442,PG,-2.67,141.3,30.06,65,2.03,91
dhidhdhoo,1337612,MV,6.88,73.1,29.82,73,4.59,79
tongliao,2034400,CN,43.61,122.27,22.68,19,4.94,0
zwettl,2760421,AT,48.6,15.17,2.62,66,0.96,47
kishtwar,1266475,IN,33.32,75.77,18.8,40,0.65,99
labutta,1000000, ,0.0,0.0,0.0,0,0.0,0
yirol,1000000, ,0.0,0.0,0.0,0,0.0,0
gisborne,2206854,NZ,-38.65,178.0,17.22,69,3.58,49
pitelino,509273,RU,54.58,41.81,9.52,93,7.71,100
sanica,3191302,BA,44.61,16.64,10.19,83,1.33,100
kibakwe,158024,TZ,-6.72,36.37,16.18,84,0.64,95
valdivia,3868707,CL,-39.81,-73.25,8.0,100,0.5,90
nuuk,3421319,GL,64.18,-51.72,4.0,93,3.1,100
ulladulla,2145554,AU,-35.35,150.47,16.34,36,5.1,100
